policy_id,visit_count,policy_name,category,policy_type,max_house_price,region,max_benefit_amount,min_rate,max_rate,house_size,max_duration_year,policy_url,desc,summary,benefit,benefit_detail,limit,limit_detail,duration,duration_detail,priority,priority_detail,caution
11,300,신혼부부특별공급,주택공급,공공분양,999999,전국,0,0,0,85,999,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyHoneyMoonSpecialView.do,혼인기간 5년 이내 자녀가 있는 신혼부부에게 일반 청약 경쟁 없이 분양·임대주택을 우선 공급하는 특별공급 제도입니다.,혼인 5년 이내 자녀 있는 신혼부부에게 일반 청약 없이 우선 공급,분양가상한제 + 경쟁 없이 우선 공급,"· 경쟁 없이 우선 공급이 핵심 혜택
· 일반 분양 동일 분양가 (상한제 적용 단지 혜택)",중도금 대출 가능,"· 중도금 대출 가능
· 분양가상한제 적용 단지에서 혜택 극대화",분양 후 영구 소유,"· 분양 후 영구 소유
· 청약통장 가입 기간 조건 있음",혼인 5년 이내 + 자녀 있는 신혼부부,"· 혼인기간 5년 이내 신혼부부
· 자녀 수가 많을수록 가점 높음
· 청약통장 가입 기간 조건 있음","청약통장 가입 기간 조건 있음
· 자녀 수에 따라 가점 차등 적용"
12,300,생애최초특별공급,주택공급,공공분양,999999,전국,0,0,0,85,999,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyFirstTimeSpecialView.do,생애 처음으로 주택을 구입하는 무주택세대구성원에게 일반 청약 경쟁 없이 국민주택을 우선 공급하는 특별공급 제도입니다.,생애 처음 집을 사는 무주택자에게 일반 경쟁 없이 우선 공급,일반 분양가 + 생애최초 LTV 80%,"· 생애최초 LTV 80% 적용 (일반 70%) 혜택
· 경쟁 없이 우선 공급",LTV 80% 대출 가능 (생애최초 특례),"· 특례 LTV 80% 대출 가능 (일반 70%)
· 중도금 대출 가능",분양 후 영구 소유,"· 분양 후 영구 소유
· 실거주 의무 적용",세대원 전원 평생 무주택 + 소득세 납부 이력,"· 세대원 전원이 평생 무주택이어야 함
· 소득세 납부 이력 필요
· 청약통장 가입 및 납입 횟수 조건 있음","청약통장 가입 및 납입 횟수 조건 있음
· 세대원 전원 무주택 이력 확인 필수"
13,2000,내집마련 디딤돌 대출,금융지원,주택구입자금 대출,999999,전국,32000,2.85,4.15,85,30,https://nhuf.molit.go.kr/FP/FP05/FP0503/FP05030101.jsp,정부지원 3대 서민 구입자금을 하나로 통합한 저금리 대출로 무주택 세대주를 지원합니다.,연 2.85~4.15% 저금리로 최대 2억원 주택 구입 자금 대출,연 2.85~4.15%,"· 생애최초·신혼가구: 연 2.55~3.85%
· 우대금리 적용 후 최저 1.5% (신혼 1.2%) 가능",최대 2억원 (생애최초 2.4억 / 신혼 3.2억),"· 일반: 최대 2억원 (LTV 70%)
· 생애최초: 최대 2.4억원 (LTV 80%)
· 신혼·2자녀 이상: 최대 3.2억원",최장 30년,"· 10·15·20·30년 선택
· 원리금균등·체감식·체증식 상환 가능","주택가격 5억원 이하, 무주택자","· 청약저축 장기가입: 최대 -0.5%p
· 생애최초: -0.2%p
· 전자계약: -0.1%p
· 지방 소재: -0.2%p","주택가격 5억원 이하 (신혼·2자녀 6억원)
· 전용 85㎡ 이하
· 실거주 의무: 1개월 내 전입, 1년 이상 거주"
14,1000,신혼부부전용 구입자금,금융지원,주택구입자금 대출,60000,전국,40000,2.35,3.65,85,30,https://nhuf.molit.go.kr/FP/FP05/FP0503/FP05030601.jsp,주택을 구입하고자 하는 신혼부부에게 낮은 금리로 구입자금을 대출해 드리는 신혼부부 전용 상품입니다.,신혼부부 전용 연 2.55~3.85% 금리로 최대 4억원 구입 대출,연 2.55~3.85%,"· 자녀 수에 따라 우대금리 추가 적용
· 1자녀: -0.2%p / 2자녀 이상: -0.3%p",최대 4억원 (LTV 70%),"· 최대 4억원 (LTV 70%)
· 주택가격 6억원 이하",최장 30년,"· 최장 30년
· 전자계약 시 -0.1%p 추가 우대",혼인신고 후 7년 이내 신혼부부,"· 혼인신고 후 7년 이내 신혼부부
· 부부합산 연소득 8,500만원 이하
· 무주택 세대 구성원","혼인신고 후 7년 이내
· 부부합산 연소득 8,500만원 이하"
15,2000,신생아특례디딤돌대출,금융지원,주택구입자금 대출,999999,전국,50000,1.6,3.3,85,30,https://nhuf.molit.go.kr/FP/FP05/FP0503/FP05030801.jsp,저출산 극복을 위해 신생아 출산 가구에 주택 구입자금을 저금리로 대출해 주는 전용 상품입니다.,출산 가구 대상 연 1.6~3.3% 초저금리로 최대 5억원 구입 대출,연 1.6~3.3% (5년간 특례금리),"· 추가 출산 시 1명당 5년씩 특례 금리 연장
· 특례 종료 후: 일반 시중 금리 적용",최대 5억원 (LTV 70%),"· 최대 5억원 (LTV 70%)
· 수도권·규제지역 LTV 70% 적용
· 부부합산 소득 1.3억원 이하 (일반)",최장 30년,"· 최장 30년
· 특례금리 5년 + 추가 출산 시 연장",대출신청일 기준 2년 이내 출생 자녀 보유,"· 대출 신청일 기준 2년 이내 출생 자녀 필요
· 부부합산 소득 1.3억원 이하 (일반)
· 2억원 이하 (맞벌이 특례)","대출신청일 기준 2년 이내 출생 자녀 필요
· 부부합산 소득 1.3억원 이하 (2억원 맞벌이)"
16,1000,청년주택디딤돌 대출,금융지원,주택구입자금 대출,60000,전국,999999,2.2,3.6,85,45,https://nhuf.molit.go.kr/FP/FP05/FP0503/FP05030901.jsp,청년 주택드림 청약통장 가입자가 주택 당첨시 연계하여 지원받는 청년 전용 주택구입자금 대출입니다.,"청년 주택드림 청약통장 가입자, 청약 당첨 시 연 2.2~3.6% 대출",연 2.2~3.6%,"· 청약통장 납입 실적에 따라 우대
· 결혼 시 금리 추가 인하",분양가의 최대 LTV 80%,"· 청약 당첨 분양가 기준 최대 LTV 80%
· 한도 상한 없음 (분양가의 80%)",최장 40년,"· 최장 40년 (최장 만기 상품)
· 청년 주택드림 청약통장 2년 이상 가입 필수","만 19~34세, 연소득 5,000만원 이하","· 만 19~34세 무주택 청년
· 연소득 5,000만원 이하
· 청년 주택드림 청약통장 2년 이상 가입 필수","청년 주택드림 청약통장 2년 이상 가입 필수
· 만 19~34세, 연소득 5,000만원 이하"
17,0,신혼희망타운전용 주택담보장기대출,금융지원,주택구입자금 대출,999999,전국,40000,1.3,1.6,60,30,https://nhuf.molit.go.kr/FP/FP05/FP0503/FP05030701.jsp,신혼희망타운 입주자에게 연 1.3% 고정금리로 최장 30년까지 집값의 70%까지 지원하는 대출입니다.,신혼희망타운 입주자 전용 연 1.3~1.6% 초저금리 고정 대출,연 1.3~1.6% 고정금리,"· 30년 전 기간 동일 금리 유지
· 금리 인상 리스크 없음",최대 4억원 (LTV 70%),"· 최대 4억원 (LTV 70%)
· 신혼희망타운 당첨자 전용 상품",최장 30년 고정금리,"· 최장 30년
· 30년 전 기간 동일 고정금리 유지",신혼희망타운 당첨자 전용,"· 신혼희망타운 입주자만 신청 가능
· 신혼희망타운 당첨 후 자동 연계","신혼희망타운 당첨자만 신청 가능
· 입주자 전용 상품"
18,1000,버팀목전세대출(전월세 보증금 대출),금융지원,주택전·월세자금 대출,30000(보증금),전국,12000,2.1,2.9,85,10,https://nhuf.molit.go.kr/FP/FP05/FP0502/FP05020101.jsp,근로자 및 서민의 주거안정을 위해 전세자금을 저금리로 대출해 주는 주택도시기금의 대표 상품입니다.,서민·근로자 대상 연 2.2~3.3% 저금리 전세자금 대출,연 2.2~3.3%,"· 신혼부부: 연 1.5~2.1%
· 청년전용: 연 2.0~3.1%","수도권 최대 1억 2,000만원","· 수도권(일반): 최대 1억 2,000만원
· 지방(일반): 최대 8,000만원
· 신혼·2자녀 이상: 수도권 최대 2억 5,000만원",최장 10년 (2년 단위 재계약),"· 최장 10년 (2년 단위 재계약)
· 신혼부부·다자녀 추가 우대 가능","부부합산 연소득 5,000만원 이하","· 부부합산 연소득 5,000만원 이하
· 신혼부부: 금리 추가 인하
· 다자녀: 최대 -0.5%p / 전자계약: -0.1%p","전세보증금 3억원 이하 주택 (수도권)
· 전용 85㎡ 이하"
19,2000,청년전용 버팀목전세자금,금융지원,주택전·월세자금 대출,30000(보증금),전국,20000,1.8,2.7,85,10,https://nhuf.molit.go.kr/FP/FP05/FP0502/FP05020301.jsp,전세자금이 부족한 청년들에게 저금리로 전세자금을 대출해 주는 청년 전용 주택도시기금 상품입니다.,만 19~34세 청년 전용 연 2.0~3.1% 저금리 전세 대출,연 2.0~3.1%,"· 일반 버팀목보다 0.2%p 저렴
· 전자계약: -0.1%p 추가 우대",최대 2억원,"· 최대 2억원
· 보증금 3억원 이하 주택",최장 10년 (2년 단위),"· 최장 10년 (2년 단위 재계약)
· 다자녀: -0.2~0.5%p 추가 우대","만 19~34세, 연소득 5,000만원 이하","· 만 19~34세 무주택 청년
· 연소득 5,000만원 이하
· 보증금 3억원 이하 주택","만 19~34세 무주택 청년
· 연소득 5,000만원 이하, 보증금 3억원 이하"
20,300,청년전용 보증부월세대출,금융지원,주택전·월세자금 대출,6500(보증금),전국,5700,1,1.3,60,10,https://nhuf.molit.go.kr/FP/FP05/FP0502/FP05020701.jsp,"보증금(최대 4,500만원)과 월세금(최대 1,200만원)을 동시에 지원하여 청년층의 주거비 부담을 덜어주는 상품입니다.","보증금+월세 동시 지원, 연 1~1.3% 초저금리 청년 월세 대출",연 1.0~1.3%,"· 보증금 대출: 연 1.0%
· 월세 대출: 연 1.3%","보증금 최대 4,500만원 + 월세 최대 1,200만원","· 보증금 대출: 최대 4,500만원
· 월세 대출: 최대 1,200만원 (월 50만원 × 24개월)",최장 10년,"· 최장 10년
· 계약 갱신 시 재신청 가능","만 19~34세, 전용 60㎡ 이하","· 만 19~34세 청년
· 전용 60㎡ 이하, 보증금 6,500만원 이하 주택
· 청년 단독 세대 우선","전용 60㎡ 이하, 보증금 6,500만원 이하
· 만 19~34세 청년"
21,1000,신혼부부전용 전세대출,금융지원,주택전·월세자금 대출,40000(보증금),전국,30000,1.5,2.7,85,10,https://nhuf.molit.go.kr/FP/FP05/FP0502/FP05020401.jsp,전세자금이 부족한 신혼부부에게 낮은 금리로 전세자금을 대출해 주는 신혼부부 전용 상품입니다.,신혼부부 전용 연 1.5~2.7% 저금리 전세 대출,연 1.5~2.7%,"· 버팀목 대비 더 낮은 금리
· 자녀 수에 따라 추가 금리 인하",최대 3억원,"· 최대 3억원
· 1자녀: -0.1%p / 2자녀: -0.2%p 추가 인하",최장 10년,"· 최장 10년
· 자녀 수에 따라 금리 추가 인하","혼인 후 7년 이내, 부부합산 7,500만원 이하","· 혼인 후 7년 이내 신혼부부
· 부부합산 연소득 7,500만원 이하
· 무주택 세대 구성원","혼인 후 7년 이내
· 부부합산 연소득 7,500만원 이하"
22,2000,신생아특례버팀목대출,금융지원,주택전·월세자금 대출,50000(보증금),전국,30000,1.1,3,85,10,https://nhuf.molit.go.kr/FP/FP05/FP0502/FP05021401.jsp,저출산 극복을 위해 신생아 출산 가구에 전세자금을 저금리로 대출해 주는 전용 상품입니다.,출산 가구에 연 1.1~3.0% 초저금리 전세자금 대출,연 1.1~3.0% (5년간 특례금리),"· 추가 출산 시 1명당 5년 연장
· 추가 출산 자녀 1명당 -0.2%p 추가 인하",최대 3억원,"· 최대 3억원
· 대출 신청일 기준 2년 이내 출생 자녀 필요",최장 10년,"· 최장 10년
· 특례금리 5년 + 추가 출산 시 연장",2년 이내 출생 자녀 보유 (전세대출),"· 대출 신청일 기준 2년 이내 출생 자녀 필요
· 전세대출 신규 또는 갱신 시 신청 가능","대출신청일 기준 2년 이내 출생 자녀 필요
· 전세보증금 5억원 이하 주택"
23,0,주거취약계층 이주지원 버팀목전세자금,금융지원,주택전·월세자금 대출,20000(보증금),전국,10000,1.2,1.8,85,10,https://nhuf.molit.go.kr/FP/FP05/FP0502/FP05021301.jsp,최저주거기준에 미달하는 곳에 거주하는 주거취약계층의 주거 이전을 위해 저금리로 전세자금을 지원하는 상품입니다.,쪽방·반지하 등 거주자 이주 시 연 1.2~1.8% 초저금리 전세 대출,연 1.2~1.8%,"· 일반 버팀목보다 훨씬 저렴
· 최저주거기준 미달 주택 거주 증빙 시 우선 지원",최대 1억원,"· 최대 1억원
· 일반 버팀목 대비 낮은 한도이나 저금리 적용",최장 10년,"· 최장 10년
· 일반 버팀목 전환 가능",쪽방·고시원·반지하 등 비정상거처 거주자,"· 쪽방·고시원·반지하·비닐하우스 등 거주 확인 필요
· 최저주거기준 미달 주택 거주 증빙 시 우선","쪽방·고시원·반지하·비닐하우스 등 거주 확인 필요
· 비정상 거처 거주 증빙 서류 필요"
24,2000,청년 주택드림 청약통장 상품,금융지원,금융연계 지원,999999,전국,5000,2.3,4.5,무관,10,https://nhuf.molit.go.kr/FP/FP07/FP0701/FP07010301.jsp,2년 이상 가입 시 무주택 기간(최대 10년)에 한해 높은 우대 이율을 제공하는 청년 전용 청약통장입니다.,"연 최대 4.5% 이자, 청약 당첨 시 저금리 대출 연계 청년 전용 통장",연 2.3~4.5%,"· 2년 이상 가입 시 최대 10년 우대이율
· 청약 당첨 후 디딤돌 대출 연계 시 최저 2.2%",월 2~100만원 자유 납입 (소득공제 40%),"· 월 2~100만원 자유 납입
· 납입액 40% 소득공제 (연 300만원 한도)",가입 기간 제한 없음,"· 가입 기간 제한 없음
· 청약 당첨 시 청년 주택드림 대출 자동 연계","만 19~34세, 연소득 5,000만원 이하","· 만 19~34세 무주택 청년
· 연소득 5,000만원 이하
· 납입액 40% 소득공제 혜택","만 19~34세 무주택 청년
· 연소득 5,000만원 이하"
25,0,보증료 할인,금융지원,금융연계 지원,999999,전국,40,무관,무관,무관,무관,https://www.khug.or.kr/hug/web/ig/dr/igdr000001.jsp,전세보증금 반환보증 가입자가 납부한 보증료를 최대 40만 원까지 환급하여 임차인의 주거비를 지원하는 사업입니다.,전세보증금 반환보증 보증료 최대 40만원 환급,보증료 최대 40만원 지원,"· 납부한 보증료 전액 또는 일부 환급
· 최대 40만원 1회 지원",최대 40만원 (1회),"· 최대 40만원 (1회)
· 전세보증금 반환보증 가입 필수",해당 보증 기간 동안,"· 해당 보증 기간 동안 적용
· 보증료 5,000만원 이하 조건",전세보증금 반환보증 가입자,"· 전세보증금 반환보증 가입 필수
· 전세보증금 3억원 이하","전세보증금 반환보증 가입 후 신청
· 전세보증금 3억원 이하"
26,300,청년 보증료지원,금융지원,금융연계 지원,30000(보증금),전국,30,무관,무관,무관,무관,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyGuaranteeFeeSupView.do#guide=HF215,전세사기 예방을 위해 청년 및 신혼부부 등이 납부한 전세보증금 반환보증 보증료를 최대 30만 원까지 지원합니다.,청년·신혼부부 전세보증금 반환보증 보증료 최대 30만원 지원,보증료 최대 30만원 지원,"· 전세사기 예방 목적 지원
· 청년 또는 신혼부부 대상",최대 30만원,"· 최대 30만원
· 마이홈 포털 또는 HUG 신청",해당 보증 기간 동안,"· 해당 보증 기간 동안 적용
· 전세보증금 반환보증 가입 후 신청",청년 또는 신혼부부,"· 청년 또는 신혼부부
· 전세보증금 반환보증 가입 후 신청","전세보증금 반환보증 가입 후 신청
· 마이홈 포털 또는 HUG에서 신청"
27,1000,주거급여,주거비지원,현금급여,999999,전국,49,0,0,999,999,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyHousingView.do,소득인정액이 기준 중위소득 48% 이하 가구에 임차료(기준임대료) 또는 주택 수선비를 지원하는 복지 제도입니다.,기준 중위소득 48% 이하 가구에 매월 임차료 또는 수선비 지원,월 20.8만원~57.7만원,"· 서울: 1인 36.9만원 / 2인 41.2만원 / 3인 49.0만원 / 4인 57.7만원
· 경기·인천: 1인 30.0만원
· 광역시·세종: 1인 24.7만원
· 그 외: 1인 20.8만원",매월 현금 지급 (실제 임차료 기준),"· 기준임대료 범위 내 실제 임차료 지급
· 자가 가구: 주택 수선비 지원
  (경보수 590만원 / 중보수 1,095만원 / 대보수 1,601만원)",수급 기간 동안 계속 지원,"· 수급 기간 동안 계속 지원
· 소득 상황 변화 시 재산정",기준 중위소득 48% 이하,"· 소득인정액 기준 중위소득 48% 이하
· 국민기초생활보장 수급자 포함","소득인정액 기준 중위소득 48% 이하
· 국민기초생활보장 수급자 포함"
28,300,청년가구지원,주거비지원,현금급여,999999,전국,37,0,0,999,999,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyYouthHousingView.do,주거급여 수급가구 내 부모와 분리거주하는 만 19~29세 미혼 청년에게 1인 가구 기준임대료를 별도 지급하는 제도입니다.,주거급여 수급 가구 내 부모와 떨어져 사는 청년에게 1인 기준임대료 별도 지급,월 20.8만원~36.9만원,"· 서울: 최대 36.9만원/월
· 경기·인천: 최대 30.0만원/월
· 광역시·세종: 최대 24.7만원/월
· 그 외: 최대 20.8만원/월",매월 현금 지급,"· 매월 현금 지급
· 부모와 청년 각각 수급 가능",수급 기간 동안,"· 수급 기간 동안 계속 지원
· 부모 주거급여 수급 가구 내 분리 거주 청년",만 19~29세 미혼 청년 (부모가 수급자),"· 만 19~29세 미혼 청년
· 부모가 주거급여 수급자여야 함
· 부모와 별도 거주 필수","만 19~29세 미혼 청년
· 부모가 주거급여 수급자여야 함"
29,2000,청년월세특별지원,주거비지원,현금급여,999999,전국,20,0,0,999,12,https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyYouthMonthlySupView.do,경제적 어려움을 겪는 19~34세 독립거주 청년에게 실제 월세를 월 최대 20만원씩 최대 12개월간 지원하는 제도입니다.,저소득 청년에게 월 최대 20만원씩 최대 24개월 월세 직접 지원,월 최대 20만원 (최대 24개월),"· 최대 24개월, 총 최대 480만원
· 실제 납부 월세 범위 내 지원",월 최대 20만원 × 최대 24개월,"· 매월 현금 지급 (청년 본인 계좌)
· 최대 24개월 (비연속 가능)
· 2026년부터 상시 신청 제도",최대 24개월 (비연속 가능),"· 최대 24개월 (비연속 수령 가능)
· 2026년부터 상시 신청 전환","만 19~34세, 기준 중위소득 60% 이하","· 만 19~34세 독립 거주 무주택 청년
· 기준 중위소득 60% 이하
· 원가구 소득 100% 이하
· 공공임대주택 거주자 제외","공공임대주택 거주자 제외
· 원가구 소득 100% 이하 조건 있음"
